Country,Continent,Population,Cases,Deaths,Cases per Capita,Death Rate
United States,North America,339996563,111820082,1219487,0.33,0.01
India,Asia,1428627663,45035393,533570,0.03,0.01
France,Europe,64756584,40138560,167642,0.62,0.0
Germany,Europe,83294633,38828995,183027,0.47,0.0
Brazil,South America,216422446,38743918,711380,0.18,0.02
South Korea,Asia,51784059,34571873,35934,0.67,0.0
Japan,Asia,123294513,33804284,74707,0.27,0.0
Italy,Europe,58870762,26723249,196487,0.45,0.01
United Kingdom,Europe,67736802,24910387,232112,0.37,0.01
Russia,Europe,144444359,24124215,402756,0.17,0.02
Turkey,Asia,85816199,17232066,102174,0.2,0.01
Spain,Europe,47519628,13914811,121760,0.29,0.01
Australia,Australia/Oceania,26439111,11853144,24414,0.45,0.0
Vietnam,Asia,98858950,11625195,43206,0.12,0.0
Taiwan,Asia,23923276,10241523,19005,0.43,0.0
Argentina,South America,45773884,10128845,130841,0.22,0.01
Netherlands,Europe,17618299,8635786,22992,0.49,0.0
Mexico,North America,128455567,7702809,334958,0.06,0.04
Iran,Asia,89172767,7627186,146811,0.09,0.02
Indonesia,Asia,277534122,6829221,162063,0.02,0.02
Poland,Europe,41026067,6661991,120598,0.16,0.02
Colombia,South America,52085168,6400173,143200,0.12,0.02
Greece,Europe,10341277,6101379,37869,0.59,0.01
Austria,Europe,8958960,6081287,22542,0.68,0.0
Portugal,Europe,10247605,5643062,28126,0.55,0.0
Ukraine,Europe,36744634,5557995,112418,0.15,0.02
Chile,South America,19629590,5384853,64497,0.27,0.01
Malaysia,Asia,34308525,5278406,37348,0.15,0.01
Canada,North America,38781291,4946090,59034,0.13,0.01
Belgium,Europe,11686140,4861695,34376,0.42,0.01
Israel,Asia,9174520,4841772,12707,0.53,0.0
North Korea,Asia,26160821,4772813,74,0.18,0.0
Thailand,Asia,71801279,4770149,34586,0.07,0.01
Czech Republic (Czechia),Europe,10495295,4759041,43517,0.45,0.01
Peru,South America,34352719,4572667,222161,0.13,0.05
Switzerland,Europe,8796669,4453053,14452,0.51,0.0
Philippines,Asia,117337368,4140383,66864,0.04,0.02
South Africa,Africa,60414495,4076463,102595,0.07,0.03
Romania,Europe,19892812,3529735,68929,0.18,0.02
Denmark,Europe,5910913,3183756,8814,0.54,0.0
Singapore,Asia,6014723,3006155,2024,0.5,0.0
Hong Kong,Asia,7491609,2937609,14924,0.39,0.01
Sweden,Europe,10612086,2754129,27407,0.26,0.01
New Zealand,Australia/Oceania,5228100,2621111,5697,0.5,0.0
